> cov(F_bru)               result            v          adv          adj            n           ner      emprunt           negresult   0.0659937348  0.005777932 -0.009885137 -0.004664114  0.003411069  0.0009397842  0.003759137  0.0008701706v        0.0057779325  0.084582753 -0.004239906 -0.012354246 -0.045557779 -0.0066306996 -0.011914810 -0.0032631396adv     -0.0098851375 -0.004239906  0.075445962 -0.010287591 -0.027501740 -0.0158980160 -0.013111295 -0.0053515489adj     -0.0046641142 -0.012354246 -0.010287591  0.062741472 -0.025630874 -0.0120692656 -0.007781500  0.0056996171n        0.0034110686 -0.045557779 -0.027501740 -0.025630874  0.144457014 -0.0217194570 -0.014762443 -0.0084406544ner      0.0009397842 -0.006630700 -0.015898016 -0.012069266 -0.021719457  0.0673163940 -0.007361643 -0.0033066481emprunt  0.0037591368 -0.011914810 -0.013111295 -0.007781500 -0.014762443 -0.0073616429  0.057276801 -0.0021319179neg      0.0008701706 -0.003263140 -0.005351549  0.005699617 -0.008440654 -0.0033066481 -0.002131918  0.0168813087> cor(F_bru)             result           v         adv         adj           n         ner     emprunt         negresult   1.00000000  0.07733573 -0.14009201 -0.07248372  0.03493573  0.01409991  0.06114309  0.02607054v        0.07733573  1.00000000 -0.05307589 -0.16958912 -0.41214717 -0.08787352 -0.17118151 -0.08635583adv     -0.14009201 -0.05307589  1.00000000 -0.14952656 -0.26343463 -0.22308199 -0.19945191 -0.14995413adj     -0.07248372 -0.16958912 -0.14952656  1.00000000 -0.26922584 -0.18571333 -0.12980655  0.17513191n        0.03493573 -0.41214717 -0.26343463 -0.26922584  1.00000000 -0.22025168 -0.16229291 -0.17092427ner      0.01409991 -0.08787352 -0.22308199 -0.18571333 -0.22025168  1.00000000 -0.11855638 -0.09808995emprunt  0.06114309 -0.17118151 -0.19945191 -0.12980655 -0.16229291 -0.11855638  1.00000000 -0.06856114neg      0.02607054 -0.08635583 -0.14995413  0.17513191 -0.17092427 -0.09808995 -0.06856114  1.00000000



result	v	adv	adj	n	ner	emprunt	neg
0	0.5	0	0.5	0	0	0	0
0	0	0	0.5	0.5	0	0	0
0	0.5	0	0	0.5	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0	0	0	0	0	1	0
0	0	0	0	0	1	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	1	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	0.5	0	0.5	0
0	0	0	0	0	1	0	0
0	0.5	0	0	0.5	0	0	0
0	0	0.5	0	0	0.5	0	0
1	0	0.5	0	0.5	0	0	0
1	0	0	0	1	0	0	0
0	0.5	0	0	0	0	0.5	0
0	0	0	0	0	0	1	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	0	0	1	0
0	0.5	0.5	0	0	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	1
0	0.5	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	0	1	0	0
0	0	0.5	0	0.5	0	0	0
0	0.5	0	0	0.5	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0	0	1	0	0	0
1	0	0	0	1	0	0	0
0	0	0	0.5	0	0	0	0.5
0	0	0.5	0	0.5	0	0	0
0	0	0.5	0.5	0	0	0	0
1	0.5	0	0	0	0.5	0	0
0	0.5	0	0	0	0.5	0	0
0	0	0	0	0.5	0.5	0	0
0	0	0	0	0.5	0.5	0	0
0	0	0	0	0.5	0.5	0	0
0	0	0	0	0.5	0.5	0	0
0	0	0	0	1	0	0	0
0	0	0	1	0	0	0	0
0	0.5	0.5	0	0	0	0	0
1	0.5	0	0.5	0	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0	0	0.5	0	0	0	0.5
0	0	0	0.5	0	0	0	0.5
0	0	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0.5	0	0.5	0	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	1	0	0	0	0	0
0	0	0	0	1	0	0	0
0	0	0	0	1	0	0	0
0	0	0	1	0	0	0	0
0	0	0	0	1	0	0	0
0	0	0.5	0.5	0	0	0	0
0	0.5	0.5	0	0	0	0	0
0	0	0	0	0	0	1	0
0	0	0	1	0	0	0	0
0	0	0.5	0	0.5	0	0	0
0	0	0.5	0	0	0.5	0	0
0	0	0.5	0.5	0	0	0	0
0	0	1	0	0	0	0	0
0	0	0	0	0	0	1	0
0	0	0	0	1	0	0	0
0	0	0	0	0	0	1	0
